Player,POS,Team,FantasyPoints,VOR,VOR Rank
Chris Manhertz,TE,JAC,37.74,-117.58,293
Kendrick Bourne,WR,NE,76.1,-117.68,294
Raymond Calais,RB,LAR,23.7,-118.03,295
Cam Newton,QB,NE,185.152,-118.506,296
Ito Smith,RB,ARI,23.07,-118.66,297
Deonte Harris,WR,NO,73.22,-120.56,298
Noah Gray,TE,KC,34.67,-120.65,299
Chris Evans,RB,CIN,20.77,-120.96,300
Adam Humphries,WR,WAS,72.79,-120.99,301
Ameer Abdullah,RB,MIN,20.45,-121.28,302
Justice Hill,RB,BAL,20.17,-121.56,303
Preston Williams,WR,MIA,72.17,-121.61,304
Matt Sokol,TE,LAC,33,-122.32,305
Dontrell Hilliard,RB,HOU,18.97,-122.76,306
Kylin Hill,RB,GB,18.87,-122.86,307
Darrell Daniels,TE,ARI,32.23,-123.09,308
Patrick Ricard,RB,BAL,18.59,-123.14,309
Brevin Jordan,TE,HOU,32.12,-123.2,310
Marcedes Lewis,TE,GB,32.04,-123.28,311
Kyle Markway,TE,LAR,32,-123.32,312
Demetric Felton,RB,CLE,17.78,-123.95,313
Kahale Warring,TE,HOU,31.15,-124.17,314
Thaddeus Moss,TE,CIN,31.1,-124.22,315
Kylen Granson,TE,IND,30.75,-124.57,316
Reggie Gilliam,TE,BUF,30.7,-124.62,317
Alec Ingold,RB,LV,16.73,-125,318
Trey Edmunds,RB,PIT,16.48,-125.25,319
Jeremy McNichols,RB,TEN,16.42,-125.31,320
Luke Farrell,TE,JAC,30,-125.32,321
Durham Smythe,TE,MIA,29.89,-125.43,322
Nick Vannett,TE,NO,29.87,-125.45,323
Travis Homer,RB,SEA,16.22,-125.51,324
Devonta Freeman,RB,NO,15.87,-125.86,325
Brycen Hopkins,TE,LAR,29.28,-126.04,326
C.J. Ham,RB,MIN,15.68,-126.05,327
Jacob Harris,TE,LAR,29.19,-126.13,328
Gerrid Doaks,RB,MIA,15.57,-126.16,329
Ryan Griffin,TE,NYJ,29.05,-126.27,330
Reggie Bonnafon,RB,CAR,15.26,-126.47,331
Lamar Miller,RB,WAS,15.24,-126.49,332
Ross Dwelley,TE,SF,28.8,-126.52,333
John Bates,TE,WAS,28.11,-127.21,334
JaMycal Hasty,RB,SF,14.35,-127.38,335
Royce Freeman,RB,DEN,14.19,-127.54,336
Kerryon Johnson,RB,PHI,14.13,-127.6,337
Devin Asiasi,TE,NE,27.7,-127.62,338
Dyami Brown,WR,WAS,66.16,-127.62,339
Gary Brightwell,RB,NYG,14,-127.73,340
D'Ernest Johnson,RB,CLE,13.98,-127.75,341
Ke'Shawn Vaughn,RB,TB,13.92,-127.81,342
Hunter Bryant,TE,DET,27.48,-127.84,343
Jordan Howard,RB,PHI,13.3,-128.43,344
Jameis Winston,QB,NO,175.076,-128.582,345
Damiere Byrd,WR,CHI,65.17,-128.61,346
Jordan Wilkins,RB,IND,13.08,-128.65,347
Eno Benjamin,RB,ARI,13.03,-128.7,348
Richie James Jr.,WR,SF,65.03,-128.75,349
Derek Carrier,TE,LV,26.4,-128.92,350
Tyron Johnson,WR,LAC,64.73,-129.05,351
Austin Fort,TE,DEN,26.2,-129.12,352
Caleb Wilson,TE,PHI,25.7,-129.62,353
Quintez Cephus,WR,DET,64.16,-129.62,354
Kene Nwangwu,RB,MIN,11.96,-129.77,355
D'Onta Foreman,RB,ATL,11.86,-129.87,356
Alex Armah,RB,NO,11.61,-130.12,357
Andrew Beck,RB,DEN,11.44,-130.29,358
Khalil Herbert,RB,CHI,11.24,-130.49,359
Byron Pringle,WR,KC,63.21,-130.57,360
Buddy Howell,RB,HOU,11.13,-130.6,361
Ty Montgomery,RB,NO,10.89,-130.84,362
Jace Sternberger,TE,GB,24.45,-130.87,363
Tony Brooks-James,RB,PIT,10.47,-131.26,364
Blake Bell,TE,KC,23.69,-131.63,365
Nick Bellore,RB,SEA,10.01,-131.72,366
Stephen Carlson,TE,CLE,23.51,-131.81,367
Rico Dowdle,RB,DAL,9.67,-132.06,368
Keith Smith,RB,ATL,8.98,-132.75,369
Andy Janovich,RB,CLE,8.79,-132.94,370
Travis Fulgham,WR,PHI,60.82,-132.96,371
Gabe Nabers,RB,LAC,8.74,-132.99,372
Alfred Morris,RB,NYG,7.92,-133.81,373
Ben Mason,RB,BAL,7.37,-134.36,374
Trenton Cannon,RB,CAR,7.32,-134.41,375
Kalen Ballage,RB,PIT,6.73,-135,376
Derek Watt,RB,PIT,6.53,-135.2,377
J.J. Taylor,RB,NE,6.49,-135.24,378
Darwin Thompson,RB,KC,6.39,-135.34,379
Jordan Thomas,TE,IND,19.9,-135.42,380
Alex Collins,RB,SEA,6.09,-135.64,381
Michael Burton,RB,KC,5.88,-135.85,382
Antonio Williams,RB,BUF,5.52,-136.21,383
Khari Blasingame,RB,TEN,5.05,-136.68,384
Tommy Tremble,TE,CAR,18.54,-136.78,385
Tutu Atwell,WR,LAR,56.99,-136.79,386
Josh Adams,RB,NYJ,4.92,-136.81,387
